symbol,name,sector,industry,open,high,low,close,adj_close,volume,dividend_amount,split_coefficient,fte,fiscal_ye,latest_qtr,market_cap,ebitda,pe_ratio,peg_ratio,book_value,div_per_share,div_yield,eps,revenue_per_share,profit_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,qtr_earnings_growth_yoy,qtr_revenue_growth_yoy,analyst_target_price,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,week_high_52,week_low_52,moving_avg_50_day,moving_avg_200_day,shares_outstanding,shares_float,shares_short,shares_short_prior_month,short_ratio,short_percent_outstanding,short_percent_float,percent_insider,percent_institution,forward_annual_div_rate,forward_annual_div_yield,payout_ratio,sma,ema,macd,macd_signal,macd_hist,stoch_slow_d,stoch_slow_k,rsi,stochrsi_fast_d,stochrsi_fast_k,willr,roc,rocr,bbands_upper,bbands_middle,bbands_lower,refresh_date
CTL,CenturyLink Inc,Communication Services,Telecom Services,47.5,47.62,46.88,47.56,16.0896,706600.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,47.463,47.1837,1.7892,2.3366,-0.5474,51.6323,46.3998,60.1997,44.1935,32.5805,-40.2135,3.9615,1.0396,48.2797,47.463,46.6463,1999-12-17
CTL,CenturyLink Inc,Communication Services,Telecom Services,47.31,47.31,46.0,47.0,15.9001,720900.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,47.469,47.2067,1.6639,2.2021,-0.5382,49.5593,48.5286,58.1102,15.5956,14.2063,-60.1423,0.127,1.0013,48.2802,47.469,46.6578,1999-12-20
CTL,CenturyLink Inc,Communication Services,Telecom Services,47.25,47.94,46.13,47.69,16.1335,424800.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,47.425,47.2145,1.5419,2.07,-0.5281,51.3722,59.1883,57.411,18.2815,8.0578,-34.1818,-0.9226,0.9908,48.2312,47.425,46.6188,1999-12-21
CTL,CenturyLink Inc,Communication Services,Telecom Services,47.5,47.56,46.38,46.63,15.7749,299300.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,47.344,47.2664,1.4488,1.9458,-0.497,53.1275,51.6657,59.6582,35.8832,85.3856,-72.7273,-1.6767,0.9832,47.9032,47.344,46.7848,1999-12-22
CTL,CenturyLink Inc,Communication Services,Telecom Services,47.0,47.06,46.31,46.88,15.8595,437100.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,47.331,47.218,1.3194,1.8205,-0.5011,54.9885,54.1117,53.3971,31.1478,0.0,-66.5399,-0.2758,0.9972,47.915,47.331,46.747,1999-12-23
CTL,CenturyLink Inc,Communication Services,Telecom Services,46.88,47.44,46.19,46.19,15.6261,317700.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,47.319,47.1565,1.1934,1.6951,-0.5017,44.9957,29.2096,51.9434,28.4619,0.0,-92.7757,-0.2553,0.9974,47.9338,47.319,46.7042,1999-12-27
CTL,CenturyLink Inc,Communication Services,Telecom Services,46.0,46.5,46.0,46.0,15.5618,336300.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,47.175,46.9463,1.0109,1.5582,-0.5474,33.9021,18.3849,42.5127,0.0,0.0,-100.0,-3.0354,0.9696,48.1675,47.175,46.1825,1999-12-28
CTL,CenturyLink Inc,Communication Services,Telecom Services,46.25,46.25,45.69,45.75,15.4772,215200.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,47.069,46.8197,0.8763,1.4218,-0.5455,17.3095,4.3341,45.6287,6.0579,18.1738,-97.4026,-2.2405,0.9776,48.1982,47.069,45.9398,1999-12-29
CTL,CenturyLink Inc,Communication Services,Telecom Services,46.0,46.56,46.0,46.38,15.6904,314400.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,46.869,46.6706,0.7409,1.2857,-0.5447,12.3105,14.2124,43.0368,7.6629,4.8149,-69.3333,-4.1667,0.9583,47.976,46.869,45.762,1999-12-30
CTL,CenturyLink Inc,Communication Services,Telecom Services,46.5,47.75,46.5,47.38,16.0287,162400.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,46.819,46.6396,0.6663,1.1618,-0.4955,20.0351,41.5587,49.4215,32.0822,73.2581,-24.8889,-1.0638,0.9894,47.9429,46.819,45.6951,1999-12-31
